年龄,是否离职,工作离家距离,学历,职位等级,月收入,性别,离职时间,入职时间
37,是,28,博士,中级,2720,女,2022-07-24,2022-06-26
31,否,95,本科,高级,4022,女,,2022-11-17
40,是,40,硕士,中级,4451,女,2023-08-12,2021-07-26
23,是,24,本科,中级,9993,女,2022-10-22,2021-12-21
52,否,82,硕士,初级,2878,女,,2021-10-22
50,否,87,博士,初级,8594,男,,2021-06-25
24,否,48,硕士,中级,10276,女,,2021-11-02
59,是,69,硕士,中级,19810,男,2023-11-02,2023-03-04
62,是,41,硕士,初级,9318,男,2023-03-05,2021-07-20
29,否,46,博士,高级,17454,女,,2023-02-07
52,否,78,本科,高级,9129,女,,2023-06-28
62,否,56,本科,高级,16576,男,,2022-12-22
65,否,100,硕士,初级,10237,男,,2022-09-27
58,否,20,本科,中级,11944,女,,2023-02-10
23,否,85,本科,高级,5496,男,,2023-07-22
30,否,86,本科,高级,6434,女,,2021-09-14
65,否,83,硕士,初级,11143,女,,2022-09-02
39,否,43,博士,高级,15968,女,,2023-10-02
64,是,54,博士,中级,13443,女,2022-08-01,2022-01-27
26,否,32,博士,中级,16391,男,,2023-08-29
59,否,72,硕士,高级,8966,男,,2022-03-20
62,是,64,硕士,中级,4339,男,2023-10-29,2022-02-28
45,否,20,硕士,中级,19347,女,,2023-11-20
55,否,48,本科,高级,4225,男,,2023-06-17
30,否,64,本科,初级,19967,女,,2022-08-19
55,否,47,博士,初级,6114,男,,2021-08-16
26,否,48,本科,中级,14305,女,,2023-02-05
56,否,86,博士,中级,2555,男,,2023-02-13
27,否,15,本科,高级,10012,女,,2021-04-12
28,否,1,硕士,初级,13051,女,,2022-10-21
40,是,32,本科,中级,19263,男,2023-05-01,2022-11-18
25,否,52,博士,中级,11027,男,,2021-11-21
43,是,1,博士,高级,3502,女,2021-07-17,2021-03-22
56,否,75,博士,中级,4679,男,,2022-09-11
23,否,38,硕士,初级,19476,女,,2023-06-30
44,否,98,本科,高级,11136,女,,2021-01-30
42,是,25,博士,高级,10130,男,2022-10-12,2022-08-19
26,是,63,硕士,初级,5213,男,2023-03-23,2021-06-15
46,是,90,本科,高级,18585,女,2023-08-21,2023-07-01
62,否,90,本科,中级,7946,男,,2021-03-23
44,否,91,本科,高级,15944,女,,2022-11-19
20,是,85,博士,高级,14968,男,2023-02-13,2022-09-27
22,否,8,硕士,高级,11247,女,,2022-07-06
27,是,1,硕士,初级,7629,女,2023-12-31,2023-12-16
47,否,64,本科,高级,7846,女,,2021-10-20
31,否,13,本科,高级,15417,女,,2022-08-22
20,是,94,本科,高级,10162,女,2023-11-01,2021-02-22
57,是,66,本科,初级,16623,男,2022-04-22,2022-03-14
57,是,58,博士,高级,4129,女,2022-09-27,2021-01-02
59,否,70,博士,中级,6607,女,,2021-12-04
61,否,44,博士,初级,12078,女,,2021-01-17
31,否,33,博士,高级,8828,女,,2022-06-15
43,否,89,博士,初级,18087,女,,2023-02-24
54,否,71,本科,初级,17006,女,,2021-09-24
32,是,15,本科,高级,9759,女,2022-12-14,2022-07-29
46,否,58,博士,初级,15219,男,,2023-02-10
29,否,81,博士,初级,15848,女,,2021-09-12
28,是,51,硕士,高级,2749,男,2022-07-12,2021-01-19
52,否,26,博士,高级,11058,男,,2023-11-11
60,是,17,本科,初级,13491,男,2023-11-16,2022-11-01
21,是,85,硕士,中级,15608,女,2022-02-18,2021-10-17
44,否,32,本科,中级,7992,男,,2021-01-07
20,是,82,博士,高级,2134,女,2022-08-13,2021-11-24
61,是,7,博士,中级,9266,女,2023-09-02,2021-03-11
25,否,44,本科,高级,7725,男,,2021-07-24
53,否,59,博士,初级,18251,男,,2023-09-21
55,否,91,本科,中级,13197,女,,2021-06-15
24,否,70,本科,中级,4422,女,,2021-03-31
52,否,6,本科,初级,18817,男,,2021-09-09
25,是,32,硕士,高级,16631,女,2023-12-27,2023-11-25
24,否,20,博士,高级,9770,男,,2022-10-14
37,否,66,本科,中级,17579,男,,2021-02-13
53,是,35,博士,高级,17298,女,2023-11-06,2023-01-19
60,否,41,博士,中级,8458,男,,2022-12-03
27,是,2,本科,高级,12169,男,2023-03-25,2022-08-15
50,是,16,本科,初级,17410,女,2023-12-06,2022-04-24
35,否,14,本科,高级,14092,男,,2022-08-30
63,否,96,硕士,初级,18661,男,,2021-12-15
63,否,39,博士,初级,19358,女,,2023-08-08
51,否,45,硕士,高级,13139,男,,2023-04-21
22,是,24,本科,中级,19727,男,2023-01-25,2022-10-15
62,是,89,博士,中级,16053,女,2022-08-05,2021-10-22
21,是,98,硕士,初级,5836,男,2023-07-20,2023-06-15
26,是,36,博士,中级,14208,女,2023-10-26,2023-08-02
25,是,66,硕士,中级,17752,男,2022-12-07,2022-09-25
48,否,88,博士,中级,15274,男,,2022-01-02
44,否,99,硕士,初级,11978,女,,2022-09-10
30,否,8,博士,中级,17004,男,,2022-02-27
55,是,53,博士,中级,5234,女,2023-06-12,2023-01-13
58,是,21,博士,中级,2031,男,2023-02-21,2022-10-11
23,否,5,博士,高级,16745,女,,2021-10-28
51,否,4,本科,初级,13771,女,,2021-07-27
31,是,53,博士,高级,18831,男,2023-02-22,2021-10-04
24,否,96,本科,高级,17080,男,,2021-08-21
35,否,52,博士,中级,2539,男,,2023-05-28
44,是,48,博士,初级,11423,男,2021-08-26,2021-05-14
35,是,46,本科,高级,12086,男,2023-08-04,2023-06-28
39,否,9,硕士,高级,2077,女,,2021-08-05
23,是,28,硕士,高级,12468,男,2023-12-18,2022-11-17
20,否,80,本科,初级,7615,男,,2022-10-03
33,否,81,硕士,初级,6119,男,,2022-06-23
26,是,11,博士,初级,4419,女,2023-08-09,2023-02-27
20,是,27,博士,初级,16766,女,2022-05-09,2022-01-26
22,否,10,硕士,高级,5890,男,,2021-03-26
53,是,32,硕士,中级,12182,男,2023-08-09,2023-06-12
59,否,17,博士,高级,10263,女,,2022-02-13
37,是,30,硕士,初级,8120,女,2023-12-18,2023-10-27
45,否,65,硕士,高级,5425,女,,2021-09-05
53,是,67,硕士,中级,13996,女,2023-09-18,2022-10-22
52,是,48,本科,高级,8049,女,2023-04-07,2021-10-23
43,否,55,本科,初级,6821,男,,2021-02-13
60,否,13,本科,中级,14029,男,,2022-10-13
44,否,87,博士,高级,11360,女,,2021-02-12
36,否,100,硕士,初级,6347,女,,2021-08-20
63,是,8,博士,高级,9758,男,2022-09-26,2022-07-30
37,是,67,博士,高级,16341,女,2023-12-19,2023-08-02
24,是,3,硕士,初级,5134,男,2023-12-11,2023-11-14
26,否,61,硕士,中级,17953,女,,2022-08-21
59,否,99,硕士,高级,16541,男,,2023-01-01
27,是,68,博士,中级,18391,男,2023-12-06,2021-08-09
64,否,53,硕士,初级,13894,男,,2022-05-19
30,否,73,博士,高级,16252,男,,2023-05-25
60,否,7,博士,中级,6092,男,,2021-04-17
65,否,68,本科,中级,2042,女,,2022-11-19
23,是,91,博士,中级,12362,男,2023-04-18,2023-04-11
20,否,79,博士,中级,16457,男,,2023-04-15
58,是,89,本科,中级,14899,男,2023-08-21,2021-04-19
56,否,55,本科,中级,17534,女,,2023-05-28
45,是,78,硕士,初级,17410,男,2022-11-16,2022-03-25
64,否,60,硕士,初级,6521,女,,2023-12-28
54,是,5,本科,初级,4068,女,2021-07-15,2021-01-22
43,否,41,本科,高级,8847,女,,2023-03-10
65,否,34,本科,中级,16865,男,,2023-10-12
21,是,10,本科,中级,12008,女,2023-11-21,2023-10-09
32,否,41,本科,初级,6518,女,,2021-08-18
42,是,21,博士,中级,2074,女,2023-08-30,2023-02-28
25,否,73,本科,中级,16071,女,,2021-10-09
20,否,6,本科,初级,14007,男,,2023-12-24
39,否,51,博士,高级,6644,男,,2022-07-28
36,否,30,硕士,中级,4055,男,,2023-10-07
62,是,24,博士,中级,16643,男,2023-10-11,2023-06-25
55,是,55,硕士,高级,10142,女,2021-06-25,2021-01-05
23,是,28,硕士,高级,12428,女,2022-09-25,2021-03-12
43,是,85,硕士,高级,3048,男,2023-03-07,2023-02-28
44,否,18,硕士,初级,15820,女,,2023-04-11
29,是,1,博士,中级,18519,男,2023-10-07,2023-05-02
36,否,85,本科,初级,12073,男,,2022-02-04
59,否,55,博士,初级,17703,女,,2022-07-30
35,否,45,博士,初级,16158,女,,2023-10-21
47,是,94,本科,高级,11305,男,2022-04-17,2021-01-27
43,是,81,本科,初级,18533,女,2023-08-14,2023-04-14
36,否,87,博士,中级,7547,男,,2021-10-05
47,是,44,本科,初级,2532,男,2022-12-30,2022-11-18
47,是,19,硕士,高级,5374,女,2022-07-14,2022-04-07
62,是,69,硕士,高级,16758,女,2023-09-11,2023-05-16
35,否,13,博士,中级,19577,男,,2023-03-18
53,否,18,本科,初级,11846,女,,2021-04-23
56,否,21,本科,高级,2677,女,,2023-12-30
22,是,74,硕士,高级,11180,女,2022-11-27,2021-03-05
42,否,91,本科,中级,8228,女,,2022-10-31
35,是,72,本科,高级,9929,男,2021-12-02,2021-06-14
23,否,91,本科,高级,2068,女,,2021-06-19
37,是,24,硕士,高级,17321,男,2023-11-29,2021-02-08
41,是,83,本科,高级,16064,女,2023-07-24,2023-01-09
57,是,28,本科,中级,3300,男,2022-11-28,2021-05-02
27,否,84,本科,初级,9447,女,,2021-02-01
42,是,52,本科,高级,17173,女,2023-09-11,2023-05-07
34,否,42,硕士,中级,4586,男,,2022-12-13
34,否,67,本科,中级,7026,女,,2021-05-08
22,否,69,本科,高级,17717,男,,2023-05-23
33,否,62,博士,高级,4016,女,,2023-03-14
61,否,29,博士,中级,14564,女,,2021-02-17
59,否,8,本科,中级,6326,女,,2021-09-22
47,否,8,博士,初级,10027,女,,2022-07-28
35,是,53,博士,高级,5660,女,2022-07-02,2021-11-13
60,否,84,硕士,中级,2473,男,,2022-05-20
38,是,53,本科,高级,19599,男,2023-10-18,2023-09-01
46,是,13,本科,初级,13617,男,2023-02-03,2022-02-14
56,是,85,本科,初级,10771,女,2023-10-20,2023-02-23
45,否,54,本科,初级,14710,男,,2023-06-18
42,否,36,硕士,初级,16884,男,,2021-02-11
58,是,48,本科,中级,7220,男,2022-06-04,2021-09-11
65,是,63,本科,中级,9703,男,2021-12-24,2021-11-09
39,否,61,本科,中级,9354,男,,2023-01-21
25,是,9,本科,中级,18977,男,2023-12-10,2023-11-14
29,是,80,本科,高级,14423,女,2023-12-24,2023-07-10
59,是,13,硕士,高级,8321,女,2022-05-29,2021-10-12
21,是,88,硕士,初级,16895,男,2023-03-19,2023-02-12
45,否,64,硕士,中级,4651,男,,2023-03-25
21,否,16,本科,初级,3086,女,,2023-02-06
44,是,45,硕士,高级,8080,女,2023-11-09,2021-10-01
53,否,17,硕士,中级,12303,男,,2022-05-24
60,是,16,博士,中级,15245,男,2023-07-10,2021-06-12
23,是,3,本科,中级,6354,女,2023-04-20,2022-07-06
61,是,91,博士,初级,10638,男,2023-12-29,2023-12-01
48,是,67,本科,初级,18231,男,2022-11-13,2021-10-18
51,是,6,本科,初级,2258,男,2022-04-03,2021-10-06
37,是,55,本科,中级,18752,女,2022-02-24,2021-07-17
65,是,51,本科,高级,12576,男,2023-08-19,2022-07-25
46,否,4,本科,高级,15019,男,,2023-11-04
58,是,47,博士,高级,10245,女,2023-12-11,2023-08-26
42,是,49,博士,中级,5324,男,2023-02-25,2023-02-25
62,否,46,本科,初级,8050,女,,2022-04-08
40,否,76,本科,初级,3098,男,,2021-01-10
63,否,46,博士,高级,16697,男,,2022-09-30
37,是,61,硕士,中级,6168,男,2023-05-30,2022-05-10
33,是,4,硕士,高级,15969,女,2023-10-07,2021-09-26
27,是,58,博士,高级,2669,女,2023-08-19,2021-07-05
43,否,15,硕士,高级,7161,男,,2022-02-18
53,是,44,本科,中级,6415,男,2023-09-29,2022-04-24
20,是,74,硕士,初级,7204,男,2023-08-06,2021-11-07
56,是,11,博士,初级,14992,男,2023-11-15,2023-07-29
28,否,69,本科,初级,10690,男,,2022-11-06
39,否,72,博士,高级,7877,男,,2022-09-06
35,否,68,博士,初级,5276,女,,2022-11-03
30,是,21,硕士,高级,8215,男,2023-11-12,2023-07-01
57,否,69,本科,初级,5491,男,,2022-12-16
57,是,26,博士,初级,10097,女,2022-11-30,2022-04-15
36,是,21,博士,中级,14391,女,2023-04-29,2022-03-23
20,是,88,硕士,中级,4022,女,2023-12-29,2023-11-27
41,是,30,硕士,中级,8850,男,2023-11-18,2021-09-03
25,否,26,博士,初级,15568,女,,2022-06-29
39,否,44,本科,初级,11596,女,,2021-03-28
40,是,82,本科,初级,18221,女,2023-11-18,2022-09-23
23,是,61,硕士,初级,13153,女,2023-11-26,2023-10-13
40,否,85,本科,初级,8561,男,,2022-12-01
64,否,39,本科,高级,2434,男,,2021-05-02
35,否,93,博士,中级,6267,女,,2021-01-23
61,否,89,本科,中级,14145,女,,2022-05-19
